Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,Ligne_5,coordonnees_gps,blank
1001,MAROLLES SOUS LIGNIERES,10130,MAROLLES SOUS LIGNIERES,,48.0520003827, 3.93246550297
1002,LES GRANDES CHAPELLES,10170,LES GRANDES CHAPELLES,,48.4916267047, 3.93350100384
1004,MERREY SUR ARCE,10110,MERREY SUR ARCE,,48.1160220302, 4.43093259336
1005,JUVANCOURT,10310,JUVANCOURT,,48.1567685845, 4.79470021531
1006,LAUBRESSEL,10270,LAUBRESSEL,,48.2596266125, 4.24959642717
1007,ISLE AUMONT,10800,ISLE AUMONT,,48.2055801821, 4.1125140322
1008,LIGNIERES,10130,LIGNIERES,,48.0520003827, 3.93246550297
1009,MERGEY,10600,MERGEY,,48.3767482025, 3.98875459714
1010,MACHY,10320,MACHY,,48.1632184055, 4.02059815423
1011,CRUSCADES,11200,CRUSCADES,,43.1662010238, 2.78892059953
1012,CUBIERES SUR CINOBLE,11190,CUBIERES SUR CINOBLE,,42.9166610889, 2.34707884311
1013,CUCUGNAN,11350,CUCUGNAN,,42.8796650781, 2.66522654176
1014,DONAZAC,11240,DONAZAC,,43.1188469018, 2.06671991119
1015,FAJAC EN VAL,11220,FAJAC EN VAL,,43.0809470716, 2.59145854442
1015,FESTES ET ST ANDRE,11300,FESTES ET ST ANDRE,,43.0486403902, 2.18021479284
1016,FONTANES DE SAULT,11140,FONTANES DE SAULT,,42.7657925357, 2.16672255446
1017,FONTCOUVERTE,11700,FONTCOUVERTE,,43.2164263433, 2.63518086038
1019,FONTJONCOUSE,11360,FONTJONCOUSE,,42.9848553966, 2.7967793394
1021,GALINAGUES,11140,GALINAGUES,,42.7657925357, 2.16672255446
1022,GENERVILLE,11270,GENERVILLE,,43.1822151687, 1.96656505821
1023,GINESTAS,11120,GINESTAS,,43.2793720392, 2.88392060651
1024,GREFFEIL,11250,GREFFEIL,,43.0946347739, 2.34321262347
1025,GRUISSAN,11430,GRUISSAN,,43.1033671547, 3.08203415117
1026,HOMPS,11200,HOMPS,,43.1662010238, 2.78892059953
1027,ISSEL,11400,ISSEL,,43.3333084343, 1.97819883163
1028,JOUCOU,11140,JOUCOU,,42.7657925357, 2.16672255446
1029,LABASTIDE ESPARBAIRENQUE,11380,LABASTIDE ESPARBAIRENQUE,,43.3945963595, 2.38722889335
1030,LACOMBE,11310,LACOMBE,,43.3722409402, 2.17410983728
1031,LAGRASSE,11220,LAGRASSE,,43.0809470716, 2.59145854442
1032,LAPRADE,11390,LAPRADE,,43.3925599417, 2.2792029886
1032,LA REDORTE,11700,LA REDORTE,,43.2164263433, 2.63518086038
1032,LASBORDES,11400,LASBORDES,,43.3333084343, 1.97819883163
1032,LAURAC,11270,LAURAC,,43.1822151687, 1.96656505821
1033,LEUCATE,11370,LEUCATE,,42.8990754596, 3.02622378383
1034,LEUCATE,11370,LEUCATE,PORT LEUCATE,42.8990754596, 3.02622378383
1035,MAILHAC,11120,MAILHAC,,43.2793720392, 2.88392060651
1036,MAYREVILLE,11420,MAYREVILLE,,43.2067830751, 1.79388571157
1036,MERIAL,11140,MERIAL,,42.7657925357, 2.16672255446
1037,MONTBRUN DES CORBIERES,11700,MONTBRUN DES CORBIERES,,43.2164263433, 2.63518086038
1038,MONTCLAR,11250,MONTCLAR,,43.0946347739, 2.34321262347
